,INGRESO_BRUTO,EDAD,NRO_PAS_PBK,EMP_REP_TC_SF,EMP_REP_PP_SF,MAX_LINEA_TCSF,NRO_ENT_REP_TOT_U6,NRO_ENT_REP_SAL_TOT_U6,PORC_ENT_REP_SAL,NRO_ENT_REP_TOT_UM,NRO_ENT_REP_SAL_TOT_UM,IND_MAXLIN_ING,IND_LINIBK_ING,PROB_CONT,CAMP_TOT,PROM_CAMP,NRO_CAMP_TC,CAMP_TC_U6,TIPO_FLUJO_TC,SEXO,SIT_LAB,DEPARTAMENTO,FLG_SEGURO,CLI_AHOCRED,CLI_CTS,CLI_FM,CLI_MILL,CLI_PLA,CLI_TXS,EMP_REP_PP_PBK,EMP_REP_CONV_PBK,EMP_REP_VEH_PBK,EMP_REP_HIP_PBK,CLF_SBS,FLG_BANCARIZADO,TARGET_XF
8231,-0.7308688195680206,-0.04814380060894107,-0.25525416013212854,-1.2870254385696882,0,-0.5716101737905558,0.0,-1.2870254385696882,0.0,-1.100734363525385,0,0.0,0.827498409,0.196843817,0.15602320835804193,0.156023197427819,-0.7048732419996371,0.166666667,1.0451553868329508,0,1,-1.472373121354777,0,0,0,0,0,0,1,0,0,0,0,0.0,0,1
8232,1.6560072286863015,0.40739334059411014,-0.25525416013212854,2.6168868221447212,0,1.3658694241870226,5.0,1.5758435528811396,0.7333333329999999,4.49432812571741,3,2.755705392,2.654763303,0.289167923,0.5222448575711934,0.5222448458785255,-0.7048732419996371,0.166666667,-0.20274489638876494,1,1,0.07618671664696883,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8234,-0.42176458917611115,0.7718230535565511,-0.25525416013212854,0.2745394657160757,0,0.8158834639629391,2.0,-0.5062429864268062,0.5,1.137290632171733,1,6.801619433,1.255060729,0.34013337,-1.1623747288093034,-1.162374737522083,0.08411257807532314,0.5,-0.20274489638876494,1,1,0.5186323846474676,0,0,0,1,0,0,0,0,0,0,0,0.0,1,1
8235,-0.7473727161851638,-0.13925122884955132,1.5856976062884378,-0.5062429864268062,0,-0.1586656387448728,1.0,-0.766503803547506,0.666666667,0.018278134323173975,0,3.2829940910000004,1.050558109,0.337349627,0.9617108366269752,0.9617108241951595,1.2675913081877634,1.0,-0.20274489638876494,0,2,-2.1360416233555255,0,0,0,0,1,0,1,0,0,0,0,0.0,1,1
8238,-0.7054253122832583,-0.13925122884955132,-0.25525416013212854,1.0553219178589575,1,-0.4064323597722826,3.0,0.9251915089082166,0.944444444,2.2563031300202923,2,1.215805471,0.85106383,0.45100855,0.30251186804330255,0.3025118567202084,-1.0993661520371172,0.0,2.2930556700546667,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8243,0.9879432468715296,-0.5036809418119923,1.5856976062884378,1.0553219178589575,0,0.6630939859960363,3.0,0.14440905676533444,0.611111111,2.2563031300202923,2,2.2754946730000003,3.150684932,0.445973445,2.792819082692733,2.792819067327623,1.2675913081877634,1.0,-1.4506451796104807,1,2,0.29740955064721825,0,0,0,0,1,1,0,0,0,0,0,0.0,1,1
8245,-0.3946019259937298,-1.1414329394962641,-0.25525416013212854,1.0553219178589575,2,-0.0925945131375635,3.0,-0.5062429864268062,0.333333333,2.2563031300202923,1,2.275402118,1.020007846,0.458292725,0.08277887851541164,0.0827788675618914,-0.7048732419996371,0.166666667,-0.20274489638876494,1,0,-2.1360416233555255,0,0,1,0,0,0,0,1,0,0,0,0.0,1,1
8248,1.03126597549153,0.22517848411288968,-0.25525416013212854,1.0553219178589575,1,-0.3403612341649733,3.0,1.0553219178589575,1.0,2.2563031300202923,3,0.418160096,0.776583035,0.382395206,-0.35668710054037017,-0.35668711075474263,-1.0993661520371172,0.0,-0.20274489638876494,0,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
8249,-0.04286262934086725,1.9562196206844844,-2.096205926552695,-0.5062429864268062,0,1.0502427018264857,1.333333333,-0.5062429864268062,0.833333333,0.018278134323173975,1,5.497665174,1.95968645,0.607102271,0.5954891874138237,0.5954891757444533,1.2675913081877634,1.0,-0.20274489638876494,1,1,-2.1360416233555255,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1
8252,0.6200438847810477,1.3184676230002126,-0.25525416013212854,0.2745394657160757,0,-0.4229501411741099,1.333333333,-0.2459821693061065,1.0,1.137290632171733,2,0.327272727,0.7818181820000001,0.278783515,-1.0158860691240428,-1.0158860782296937,-1.0993661520371172,0.0,1.0451553868329508,1,1,0.29740955064721825,0,0,0,0,0,0,1,0,0,0,0,0.0,1,1
